review_id,example_id,degradation_type,split,blind_label,true_method,prediction_path,manifest_path
review_00001,example_00122,grain,test,Output 00001,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00122_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00002,example_00122,grain,test,Output 00002,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00122_grain_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00003,example_00122,grain,test,Output 00003,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00122_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00004,example_00122,grain,test,Output 00004,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00122_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00005,example_00122,grain,test,Output 00005,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00122_grain_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv
review_00006,example_00122,grain,test,Output 00006,median,outputs\predictions\baselines_nosferatu_v0\median\example_00122_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00007,example_00122,grain,test,Output 00007,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00122_grain_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00008,example_00024,blur_contrast,test,Output 00008,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00024_blur_contrast_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv
review_00009,example_00024,blur_contrast,test,Output 00009,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00024_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00010,example_00024,blur_contrast,test,Output 00010,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00024_blur_contrast_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
