frame_path,joined_text,char_count,word_count,mean_conf,max_conf,text_area_fraction,auto_text_frame,manual_keep,manual_notes
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000001.png,1922 NOSFERATU Directed by W: MURNAU,30,5,0.8496,0.9999,0.23709,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000002.png,1922 NOSFERATU Directed by W: MURNAU,30,5,0.881,1.0,0.23819,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000003.png,1922 NOSFERATU Directed W: MURNAU by,30,5,0.8162,1.0,0.24243,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000004.png,1922 NOSFERATU Directed W: MURNAU by,30,5,0.7917,0.9998,0.23848,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000005.png,1922 NOSFERATU Directed by W MURNAU,30,5,0.9119,0.9989,0.23746,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000006.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000007.png,BRAM STOKER HENRIK GALEEN WAGNER Duchon ALBIN GRAU by,45,9,0.9231,0.9998,0.31388,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000008.png,From the novel by BRAM STOKER Adaptation by. HENRIK GALEEN Photographed WAGNER Art Direction by ALBIN GRAU by,91,18,0.9032,1.0,0.54213,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000009.png,From the novel by BRAM STOKER Adaptation by. HENRIK GALEEN Photographed by WAGNER Art Direction by ALBIN GRAU,91,18,0.9162,1.0,0.52879,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000010.png,From the BRAM STOKER Adaptation HENRIK GALEEN Photographed by A. WAGNER Art Direction by ALBIN GRAU novel by by,92,18,0.9213,1.0,0.56568,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000011.png,From the novel by BRAM STOKER Adaptation by. HENRIK GALEEN Photographed by WAGNER Art Direction by ALBIN GRAU,91,18,0.9301,1.0,0.5463,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000012.png,From the BRAM STOKER Adaptation by. HENRIK GALEEN Photographed WAGNER Art Direction by ALBIN GRAU novel by by,91,18,0.9029,1.0,0.53714,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000013.png,From the novel BRAM STOKER Adaptation by HENRIK GALEEN Photographed by WAGNER Art Direction by ALBIN GRAU by,91,18,0.9586,1.0,0.52718,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000014.png,From the by BRAM STOKER Adaptation by HENRIK GALEEN Photographed WAGNER Art Direction by ALBIN GRAU novel by,91,18,0.9157,0.9998,0.54367,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000015.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000016.png,"CAST Count Dracula, the vampire Max Schreck Rentield, an estale agent Alexander Granach Jonathon Harker , Renfield $ clerk Gustav von Wangenheim",119,20,0.916,0.9997,0.40203,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000017.png,"CAST Count Dracula, the Max Schreck Renfield, an estate agent Alexander Granach Jonathon Harker , Renfield $ clerk Gustav von Wangenheim vampire",119,20,0.8483,0.9999,0.40919,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000018.png,"CAST Count Dracula, the vampire Max Schreck Renfield, an estate agent Alexander Granach Jonathon Harker , Renfield $ clerk Gustav von Wangenheim",119,20,0.8352,0.9986,0.42717,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000019.png,"CAST Count Dracula, the Max Schreck Renfield, an estate agent Alexander Granach Jonathon Harker , Renfield $ clerk Gustav von Wangenheim vampire",119,20,0.943,0.9998,0.42024,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000020.png,"CAST Count Dracula, the vampire Max Schreck Renfield , an estate agent Alexander Granach Jonathon Harker , Renfield $ clerk _ Gustav von Wangenhoim",119,20,0.8588,0.9977,0.42858,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000021.png,"CAST Count Dracula, the Max Schreck Renfield, an estate agent Alexander Granach Jonathon Harker , Renfield $ clerk Gustav von Wangenheim vampire",119,20,0.8952,0.9998,0.41609,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000022.png,"CAS T Count Dracula, the Max Schreck Renfield , an estate agent Alexander Granach Jonathon Harker , Renfield $ dlerk Gustav von Wangenheim Nina , his wife Greta Schroeder vampire",144,25,0.7813,0.9994,0.45479,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000023.png,"Count Dracula, the vampire Max Schreck Renfield, an estate agent Alexander Granach Jonathon Harker , Renfield $ clerk Gustav von Wangenheim his wife Greta Schroeder Nina,",140,24,0.8903,0.9979,0.46612,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000024.png,"Count Dracula, the Max Schreck Renfield , an estate agent Alexander Granach Jonathon Harker , Renfield $ clerk Gustav von Wangenheim Nina, his wife Greta Schroeder Weclenro Harker < {riend vampire",159,27,0.8097,0.9989,0.49679,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000025.png,"Count Dracula, the Max Schreck Renfield, an estate agent Alexander Granach Jonathon Harker , Renfields clerk Gustav von Wangenheim his wife Greta Schroeder Westenra, Harker' $ friend vampire Nino,",161,27,0.8463,0.9998,0.5163,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000026.png,"Max Schreck Renfield , an estate agent Alexander Granach Jonathon Harker , Renfield s clerk Gustav von Wangenheim his wife Greta Schroeder Westenra, Harker $ friend G H Scholl Nino,",147,24,0.8364,1.0,0.48006,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000027.png,"Renfield, an estate agent Alexander Granach Jonathon Harker , Renfield $ clerk Gustav von Wangenheim his wife Greta Schroodor Westenra, Harker $ friend G.H, Schell Nino,",136,22,0.8007,0.9994,0.42514,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000028.png,"Renfield, an estate agent Alexander Granach Jonathon Harker , Renfield$ clerk Gustav von Wangenheim Nina, his wife Greta Schroeder Westenra, Harker' $ friend G.H Scholl his wife Ruth Londshoff Lucy,",160,27,0.8065,0.9997,0.51605,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000029.png,"Alexander Granach Jonathon Harker , Renfield s dlerk Gustav von Wangenheim Nina, his wife Greta Schroeder Westenra, Harker' $ friend G H. Schell his wife Ruth Landshoff Lucy,",140,23,0.8313,0.9989,0.43934,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000030.png,"Alexander Granach Jonathon Harker , Renfield $ clerk Gustav von Wangenheim his wife Greta Schroeder Westenra, Harker $ friend G H Schell his wife Ruth Landshoff The Professor John Goltowt Nino, Lucy,",162,27,0.8421,0.9997,0.47569,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000031.png,"Jonathon Harker , Renfield $ derk Gustav von Wangenheim Nina, his wife Greta Schroeder Westenra, Harker $ friend G.H. Schell his wife Ruth Landshoff The Professor John Golowt Lucy,",144,25,0.8368,0.9897,0.44518,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000032.png,"Jonathon Harker , Rennield $ clerk Gustav von Wangenheim his wife Greta Schroedor Westenra, Harker' $ triend G.H Schell his wife Ruth Landshoff The Professor John Gotowt The Town Doctor Gustav Botz Nino, Lucy,",168,30,0.8377,0.9998,0.49144,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000033.png,"Gustav von Wangenhoim his wife Greta Schroedor Westenra, Harker $ triend G H, Scholl his wife Ruth Landshoff The Professor John Gottowt The Town Doctor Gustav Bolz Nino, Lucy,",142,26,0.8347,0.994,0.42507,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000034.png,"Nina, his wife Greta Schroeder Westenra, Harker $ friend G H, Schell his wife Ruth Landshoff The Professor John Gottowt The Town Doctor Gustav Bolz Captain of the 'Demeter Lucy,",142,27,0.8183,0.998,0.425,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000035.png,"Nina, his wife Greta Schroodor Westenra, Harker' $ friend GH. Scholl his wife Ruth Landshoff The Professor John Golowt The Town Doctor Gustav Bolz Captain of the 'Demeter"" Max Nemetz Lucy,",150,30,0.8039,0.9873,0.45451,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000036.png,"Westenra, Harker $ friend G H. Scholl his wife Ruth Landshoff The Professor John Goltowt The Town Doctor Gustav Botz Captain of the 'Demeter Max Nemelz Lucy,",126,24,0.7943,0.9924,0.37856,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000037.png,"Westenra, Harker $ friend H Scholl his wife Ruth Landshoff The Professor John Goltowt The Town Doctor Gustav Bolz tain of the 'Demeter Max Nemotz First Mate Wolfaang Heinz Lucy, Capl",148,29,0.8194,0.9996,0.45286,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000038.png,"G H Scholl his wife Ruth Landshoff The Professor John Goltowt The Town Doctor Gustav Bolz Captain of the Demeter Max Nemotz First Mate Heinz Lucy, Wolfgang",128,25,0.8787,1.0,0.39398,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000039.png,"G.H. Schell his wife Ruth Landshoff The Professor John Goltowt The Town Doctor Gustav Botz Captain of the Demeter Max Nemetz First Mate Wolfgang Heinz Lucy,",128,25,0.8491,0.9992,0.3818,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000040.png,"GH, Schell his wile Ruth Landshoff The Professor John Golowt The Town Doctor Gustav Botz Captain of the Demeter Max Nemetz First Mate Heinz Lucy, Wolfgang",127,26,0.8644,0.9989,0.39125,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000041.png,"G H Schell his wife Ruth Landshoff The Professor John Goltowt The Town Doctor Gustav Botz Captain of the Demeter Max Nomolz First Male Heinz Lucy, Wolfgang",128,25,0.8057,0.9995,0.39114,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000042.png,"Scholl his wife Ruth Landshoff The Professor John Goltowt The Town Doctor Gustav Botz Captain of the Demeter Max Nemelz First Mate Hoinz Lucy, Wolfgang",126,25,0.8527,0.9998,0.37856,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000043.png,"G H, Schell his wife Ruth Landshoff The Professor John Goltowt The Town Doctor Gustav Botz Captain of the Demeter Max Nemotz First Mate Heinz Lucy, Wolfgang",128,25,0.8332,0.9999,0.39681,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000044.png,"GH Schell his wife Ruth Landshoff The Professor John Goltowt The Town Doctor Gustav Bolz tain of the 'Demeter Max Nemetz First Mate Heinz Lucy, Capl Wolfgang",129,27,0.829,0.9992,0.40663,1,,
