review_id,example_id,degradation_type,split,blind_label,artifact_removal_1_5,detail_preservation_1_5,texture_authenticity_1_5,over_smoothing_1_5,hallucination_risk_1_5,overall_1_5,choose_for_restoration,notes,true_method,prediction_path,manifest_path,human_composite_score
review_00001,example_00122,grain,test,Output 00001,1,2,3,1,1,2,no,,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00122_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,4.0
review_00002,example_00122,grain,test,Output 00002,3,3,3,3,2,3,maybe,,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00122_grain_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv,5.0
review_00003,example_00122,grain,test,Output 00003,1,2,3,1,1,1,no,,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00122_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,3.0
review_00004,example_00122,grain,test,Output 00004,1,2,3,1,1,1,no,,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00122_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,3.0
review_00005,example_00122,grain,test,Output 00005,4,2,2,4,3,3,no,,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00122_grain_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv,3.5
review_00006,example_00122,grain,test,Output 00006,2,1,1,4,2,1,no,,median,outputs\predictions\baselines_nosferatu_v0\median\example_00122_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,0.0
review_00007,example_00122,grain,test,Output 00007,2,1,2,4,5,1,no,,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00122_grain_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv,-1.0
review_00008,example_00024,blur_contrast,test,Output 00008,3,3,3,3,1,2,no,,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00024_blur_contrast_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv,4.5
review_00009,example_00024,blur_contrast,test,Output 00009,1,1,3,2,1,1,no,,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00024_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,2.0
review_00010,example_00024,blur_contrast,test,Output 00010,3,3,4,1,4,3,maybe,"Too dark, otherwise good contrast",conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00024_blur_contrast_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv,5.5
review_00011,example_00024,blur_contrast,test,Output 00011,1,1,3,3,1,2,no,,median,outputs\predictions\baselines_nosferatu_v0\median\example_00024_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,2.5
review_00012,example_00024,blur_contrast,test,Output 00012,1,2,3,1,1,1,no,,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00024_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,3.0
review_00013,example_00024,blur_contrast,test,Output 00013,1,1,3,1,1,1,no,,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00024_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,2.5
review_00014,example_00024,blur_contrast,test,Output 00014,4,4,4,1,1,4,maybe,"Too dark, otherwise good contrast",conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00024_blur_contrast_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv,9.0
review_00015,example_00048,blur_contrast,test,Output 00015,3,3,3,4,2,3,maybe,,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00048_blur_contrast_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv,4.5
review_00016,example_00048,blur_contrast,test,Output 00016,2,2,2,4,1,2,no,,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00048_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,2.5
review_00017,example_00048,blur_contrast,test,Output 00017,1,1,1,5,1,1,no,,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00048_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,-0.5
