review_id,example_id,degradation_type,split,blind_label,artifact_removal_1_5,detail_preservation_1_5,texture_authenticity_1_5,over_smoothing_1_5,hallucination_risk_1_5,overall_1_5,choose_for_restoration,notes
review_00001,example_00122,grain,test,Output 00001,1,2,3,1,1,2,no,
review_00002,example_00122,grain,test,Output 00002,3,3,3,3,2,3,maybe,
review_00003,example_00122,grain,test,Output 00003,1,2,3,1,1,1,no,
review_00004,example_00122,grain,test,Output 00004,1,2,3,1,1,1,no,
review_00005,example_00122,grain,test,Output 00005,4,2,2,4,3,3,no,
review_00006,example_00122,grain,test,Output 00006,2,1,1,4,2,1,no,
review_00007,example_00122,grain,test,Output 00007,2,1,2,4,5,1,no,
review_00008,example_00024,blur_contrast,test,Output 00008,3,3,3,3,1,2,no,
review_00009,example_00024,blur_contrast,test,Output 00009,1,1,3,2,1,1,no,
review_00010,example_00024,blur_contrast,test,Output 00010,3,3,4,1,4,3,maybe,"Too dark, otherwise good contrast"
review_00011,example_00024,blur_contrast,test,Output 00011,1,1,3,3,1,2,no,
review_00012,example_00024,blur_contrast,test,Output 00012,1,2,3,1,1,1,no,
review_00013,example_00024,blur_contrast,test,Output 00013,1,1,3,1,1,1,no,
review_00014,example_00024,blur_contrast,test,Output 00014,4,4,4,1,1,4,maybe,"Too dark, otherwise good contrast"
review_00015,example_00048,blur_contrast,test,Output 00015,3,3,3,4,2,3,maybe,
review_00016,example_00048,blur_contrast,test,Output 00016,2,2,2,4,1,2,no,
review_00017,example_00048,blur_contrast,test,Output 00017,1,1,1,5,1,1,no,
review_00018,example_00048,blur_contrast,test,Output 00018,3,3,4,3,1,3,maybe,
review_00019,example_00048,blur_contrast,test,Output 00019,1,1,2,5,1,1,no,
review_00020,example_00048,blur_contrast,test,Output 00020,4,3,4,2,1,4,yes,
review_00021,example_00048,blur_contrast,test,Output 00021,1,1,1,5,1,1,no,
review_00022,example_00023,grain,test,Output 00022,3,3,3,2,1,3,maybe,
review_00023,example_00023,grain,test,Output 00023,3,2,2,3,1,2,no,
review_00024,example_00023,grain,test,Output 00024,1,2,3,4,1,1,no,
review_00025,example_00023,grain,test,Output 00025,2,2,3,2,1,2,no,
review_00026,example_00023,grain,test,Output 00026,3,2,2,4,1,2,no,
review_00027,example_00023,grain,test,Output 00027,2,2,3,2,1,2,no,
review_00028,example_00023,grain,test,Output 00028,1,2,3,2,1,2,no,
review_00029,example_00043,scratch_dust,test,Output 00029,5,4,4,2,1,4,yes,
review_00030,example_00043,scratch_dust,test,Output 00030,4,3,2,3,3,3,maybe,
review_00031,example_00043,scratch_dust,test,Output 00031,2,2,2,3,3,1,no,
review_00032,example_00043,scratch_dust,test,Output 00032,3,2,3,1,3,2,no,
review_00033,example_00043,scratch_dust,test,Output 00033,1,2,2,4,4,1,no,
review_00034,example_00043,scratch_dust,test,Output 00034,1,3,3,1,1,1,no,
review_00035,example_00043,scratch_dust,test,Output 00035,3,2,3,2,1,2,no,
review_00036,example_00047,grain,test,Output 00036,2,2,3,3,2,2,no,
review_00037,example_00047,grain,test,Output 00037,2,3,3,1,2,2,maybe,
review_00038,example_00047,grain,test,Output 00038,2,3,2,2,1,2,no,
review_00039,example_00047,grain,test,Output 00039,4,2,3,1,5,2,no,
review_00040,example_00047,grain,test,Output 00040,3,2,2,3,3,2,no,
review_00041,example_00047,grain,test,Output 00041,1,2,3,1,1,2,no,
review_00042,example_00047,grain,test,Output 00042,3,2,3,3,4,2,no,
review_00043,example_00052,scratch_dust,test,Output 00043,5,3,4,2,1,5,yes,
review_00044,example_00052,scratch_dust,test,Output 00044,5,3,4,2,1,5,yes,
review_00045,example_00052,scratch_dust,test,Output 00045,1,2,2,1,1,1,no,
review_00046,example_00052,scratch_dust,test,Output 00046,1,2,3,3,1,1,no,
review_00047,example_00052,scratch_dust,test,Output 00047,3,2,3,3,3,2,no,
review_00048,example_00052,scratch_dust,test,Output 00048,1,3,4,1,2,2,no,
review_00049,example_00052,scratch_dust,test,Output 00049,5,3,3,4,1,3,maybe,
review_00050,example_00121,scratch_dust,test,Output 00050,5,3,3,4,2,4,maybe,
review_00051,example_00121,scratch_dust,test,Output 00051,5,2,3,4,3,2,no,
review_00052,example_00121,scratch_dust,test,Output 00052,5,3,4,3,3,3,maybe,
review_00053,example_00121,scratch_dust,test,Output 00053,1,2,3,1,1,2,no,
review_00054,example_00121,scratch_dust,test,Output 00054,1,2,3,2,1,1,no,
review_00055,example_00121,scratch_dust,test,Output 00055,1,2,2,4,4,1,no,
review_00056,example_00121,scratch_dust,test,Output 00056,3,1,3,4,4,3,no,
review_00057,example_00025,scratch_dust,test,Output 00057,1,2,2,3,2,2,no,
review_00058,example_00025,scratch_dust,test,Output 00058,1,2,3,2,2,2,no,
review_00059,example_00025,scratch_dust,test,Output 00059,5,3,3,3,2,4,maybe,
review_00060,example_00025,scratch_dust,test,Output 00060,3,3,3,2,3,3,maybe,
review_00061,example_00025,scratch_dust,test,Output 00061,1,2,2,4,3,1,no,
review_00062,example_00025,scratch_dust,test,Output 00062,5,4,4,2,2,5,yes,
review_00063,example_00025,scratch_dust,test,Output 00063,5,4,4,3,2,4,yes,
review_00064,example_00046,scratch_dust,test,Output 00064,1,2,3,3,3,1,no,
review_00065,example_00046,scratch_dust,test,Output 00065,4,3,3,3,2,3,maybe,
review_00066,example_00046,scratch_dust,test,Output 00066,2,2,3,3,3,2,no,
review_00067,example_00046,scratch_dust,test,Output 00067,1,1,2,3,3,1,no,
review_00068,example_00046,scratch_dust,test,Output 00068,1,3,3,1,1,2,no,
review_00069,example_00046,scratch_dust,test,Output 00069,5,3,4,3,2,4,yes,
review_00070,example_00046,scratch_dust,test,Output 00070,5,2,2,3,2,3,maybe,
review_00071,example_00054,blur_contrast,test,Output 00071,3,3,3,3,2,3,maybe,
review_00072,example_00054,blur_contrast,test,Output 00072,2,2,3,3,1,2,no,
review_00073,example_00054,blur_contrast,test,Output 00073,3,3,3,2,2,3,no,
review_00074,example_00054,blur_contrast,test,Output 00074,1,1,2,4,3,1,no,
review_00075,example_00054,blur_contrast,test,Output 00075,4,3,4,2,2,4,yes,
review_00076,example_00054,blur_contrast,test,Output 00076,1,1,1,4,4,1,no,
review_00077,example_00054,blur_contrast,test,Output 00077,1,2,3,2,2,2,no,
review_00078,example_00044,grain,test,Output 00078,4,2,3,3,2,3,maybe,
review_00079,example_00044,grain,test,Output 00079,1,2,3,1,1,2,no,
review_00080,example_00044,grain,test,Output 00080,4,2,3,4,3,3,no,
review_00081,example_00044,grain,test,Output 00081,2,2,3,3,3,2,no,
review_00082,example_00044,grain,test,Output 00082,1,2,3,1,1,2,no,
review_00083,example_00044,grain,test,Output 00083,1,3,3,1,1,2,,
review_00084,example_00044,grain,test,Output 00084,4,3,3,3,3,4,maybe,
review_00085,example_00005,grain,test,Output 00085,4,3,3,3,2,3,maybe,
review_00086,example_00005,grain,test,Output 00086,3,2,3,4,4,2,no,
review_00087,example_00005,grain,test,Output 00087,4,4,4,2,1,4,yes,
review_00088,example_00005,grain,test,Output 00088,3,2,2,4,1,2,no,
review_00089,example_00005,grain,test,Output 00089,1,3,3,2,2,2,no,
review_00090,example_00005,grain,test,Output 00090,2,2,3,2,1,2,no,
review_00091,example_00005,grain,test,Output 00091,1,2,3,1,1,2,no,
review_00092,example_00045,blur_contrast,test,Output 00092,1,2,2,3,2,2,no,
review_00093,example_00045,blur_contrast,test,Output 00093,4,4,3,3,2,4,yes,
review_00094,example_00045,blur_contrast,test,Output 00094,1,2,2,4,4,1,no,
review_00095,example_00045,blur_contrast,test,Output 00095,5,3,4,3,1,4,maybe,
review_00096,example_00045,blur_contrast,test,Output 00096,1,1,2,4,4,1,no,
review_00097,example_00045,blur_contrast,test,Output 00097,5,5,4,3,2,5,yes,
review_00098,example_00045,blur_contrast,test,Output 00098,2,2,3,3,2,2,no,
review_00099,example_00006,blur_contrast,test,Output 00099,2,2,2,3,3,2,no,
review_00100,example_00006,blur_contrast,test,Output 00100,1,1,2,5,3,1,no,
review_00101,example_00006,blur_contrast,test,Output 00101,2,3,3,3,2,3,no,
review_00102,example_00006,blur_contrast,test,Output 00102,3,2,3,3,3,3,no,
review_00103,example_00006,blur_contrast,test,Output 00103,3,3,3,2,2,3,maybe,
review_00104,example_00006,blur_contrast,test,Output 00104,1,1,2,4,3,2,no,
review_00105,example_00006,blur_contrast,test,Output 00105,2,2,3,3,3,2,no,
review_00106,example_00053,grain,test,Output 00106,2,3,2,2,2,2,no,
